,Offense,District,Status,Activity,2016,2017
266,First Degree Theft,District 6,Conviction,Jury Trial,0,0
267,First Degree Theft,District 6,Conviction,Court Trial,0,0
268,First Degree Theft,District 6,Conviction,Guilty Pleas,7,6
269,First Degree Theft,District 6,No Conviction,Dismissals,4,7
270,First Degree Theft,District 6,No Conviction,Not Guilty Verdict,0,0
271,First Degree Theft,District 6,In Progress,Pending Cases,3,1
272,First Degree Theft,District 7,Arrest,No Papered Cases,2,3
273,First Degree Theft,District 7,Arrest,Papered Cases,15,9
274,First Degree Theft,District 7,Conviction,Jury Trial,0,0
275,First Degree Theft,District 7,Conviction,Court Trial,1,0
276,First Degree Theft,District 7,Conviction,Guilty Pleas,7,2
277,First Degree Theft,District 7,No Conviction,Dismissals,5,4
278,First Degree Theft,District 7,No Conviction,Not Guilty Verdict,0,0
279,First Degree Theft,District 7,In Progress,Pending Cases,2,3
280,Homicide,District 1,Arrest,No Papered Cases,1,0
281,Homicide,District 1,Arrest,Papered Cases,44,26
282,Homicide,District 1,Conviction,Jury Trial,1,0
283,Homicide,District 1,Conviction,Court Trial,0,0
284,Homicide,District 1,Conviction,Guilty Pleas,10,8
285,Homicide,District 1,No Conviction,Dismissals,6,1
286,Homicide,District 1,No Conviction,Not Guilty Verdict,0,0
287,Homicide,District 1,In Progress,Pending Cases,27,17
288,Homicide,District 2,Arrest,No Papered Cases,0,0
289,Homicide,District 2,Arrest,Papered Cases,4,1
290,Homicide,District 2,Conviction,Jury Trial,0,0
291,Homicide,District 2,Conviction,Court Trial,0,0
292,Homicide,District 2,Conviction,Guilty Pleas,2,0
293,Homicide,District 2,No Conviction,Dismissals,0,0
294,Homicide,District 2,No Conviction,Not Guilty Verdict,0,0
295,Homicide,District 2,In Progress,Pending Cases,2,1
296,Homicide,District 3,Arrest,No Papered Cases,0,0
297,Homicide,District 3,Arrest,Papered Cases,7,1
298,Homicide,District 3,Conviction,Jury Trial,0,0
299,Homicide,District 3,Conviction,Court Trial,0,0
300,Homicide,District 3,Conviction,Guilty Pleas,1,0
301,Homicide,District 3,No Conviction,Dismissals,3,0
302,Homicide,District 3,No Conviction,Not Guilty Verdict,0,0
303,Homicide,District 3,In Progress,Pending Cases,3,1
304,Homicide,District 4,Arrest,No Papered Cases,0,0
305,Homicide,District 4,Arrest,Papered Cases,6,8
306,Homicide,District 4,Conviction,Jury Trial,0,0
307,Homicide,District 4,Conviction,Court Trial,0,0
308,Homicide,District 4,Conviction,Guilty Pleas,2,1
309,Homicide,District 4,No Conviction,Dismissals,0,0
310,Homicide,District 4,No Conviction,Not Guilty Verdict,0,0
311,Homicide,District 4,In Progress,Pending Cases,4,7
312,Homicide,District 5,Arrest,No Papered Cases,1,0
313,Homicide,District 5,Arrest,Papered Cases,13,13
314,Homicide,District 5,Conviction,Jury Trial,0,0
315,Homicide,District 5,Conviction,Court Trial,0,0
316,Homicide,District 5,Conviction,Guilty Pleas,5,2
317,Homicide,District 5,No Conviction,Dismissals,1,0
318,Homicide,District 5,No Conviction,Not Guilty Verdict,0,0
319,Homicide,District 5,In Progress,Pending Cases,7,11
320,Homicide,District 6,Arrest,No Papered Cases,0,0
321,Homicide,District 6,Arrest,Papered Cases,13,15
322,Homicide,District 6,Conviction,Jury Trial,0,0
323,Homicide,District 6,Conviction,Court Trial,0,0
324,Homicide,District 6,Conviction,Guilty Pleas,4,1
325,Homicide,District 6,No Conviction,Dismissals,2,4
326,Homicide,District 6,No Conviction,Not Guilty Verdict,0,0
327,Homicide,District 6,In Progress,Pending Cases,7,10
328,Homicide,District 7,Arrest,No Papered Cases,1,2
329,Homicide,District 7,Arrest,Papered Cases,20,20
330,Homicide,District 7,Conviction,Jury Trial,1,0
331,Homicide,District 7,Conviction,Court Trial,0,0
332,Homicide,District 7,Conviction,Guilty Pleas,12,7
333,Homicide,District 7,No Conviction,Dismissals,1,3
334,Homicide,District 7,No Conviction,Not Guilty Verdict,0,0
335,Homicide,District 7,In Progress,Pending Cases,6,10
336,UUV,District 1,Arrest,No Papered Cases,23,38
337,UUV,District 1,Arrest,Papered Cases,46,31
338,UUV,District 1,Conviction,Jury Trial,2,0
339,UUV,District 1,Conviction,Court Trial,0,0
